Timestamp,Open,High,Low,Close,Volume
1544371200000,106.46,108.8,105.32,108.38,10287.30745
1544374800000,108.35,110.45,107.48,107.82,11847.46493
1544378400000,107.82,109.67,107.5,108.13,3813.18068
1544382000000,108.05,108.89,107.5,107.83,2987.40333
1544385600000,107.8,108.46,107.4,108.11,1733.75193
1544389200000,108.15,108.27,105.78,106.02,3759.92689
1544392800000,106.01,106.9,105.3,105.73,1368.11936
1544396400000,105.8,107.08,105.36,106.56,848.17074
1544400000000,106.51,108.72,106.41,107.12,2312.68376
1544403600000,107.12,107.66,106.0,106.32,2072.83059
1544407200000,106.17,106.35,104.22,104.79,3716.02144
1544410800000,104.79,104.79,103.42,104.32,1985.18667
1544414400000,104.32,105.01,103.69,105.01,863.53532
1544418000000,105.06,105.66,104.65,105.01,897.92818
1544421600000,105.02,105.39,101.58,102.78,4246.87235
1544425200000,102.62,103.15,101.61,102.8,1490.47075
1544428800000,102.79,103.16,102.04,102.78,969.23729
1544432400000,102.8,104.1,101.45,103.96,3076.27642
1544436000000,103.93,104.1,102.99,103.99,1280.18915
1544439600000,103.99,106.14,103.9,104.55,2882.1011
1544443200000,104.54,104.54,102.5,102.77,2194.57317
1544446800000,102.77,104.0,102.77,103.92,837.12675
1544450400000,103.97,104.03,101.89,102.02,1601.58837
1544454000000,102.02,102.02,99.63,100.9,4623.99666
1544457600000,100.85,103.46,99.74,101.43,2351.9185
1544461200000,101.36,101.6,100.39,100.76,966.73797
1544464800000,100.85,101.66,100.61,101.3,676.87299
1544468400000,101.3,101.42,100.0,100.38,2264.59201
1544472000000,100.31,102.0,99.77,100.71,2493.33897
1544475600000,100.72,102.2,100.59,101.75,1029.20394
1544479200000,101.68,103.22,101.12,102.89,679.09226
1544482800000,102.89,102.97,102.14,102.17,1124.70651
1544486400000,102.18,102.19,100.67,100.68,723.31017
1544490000000,100.8,100.99,99.8,100.42,943.09182
1544493600000,100.4,100.94,99.93,100.68,738.61709
1544497200000,100.74,100.84,99.96,100.15,459.82538
1544500800000,100.16,101.7,100.0,100.76,536.9723
1544504400000,100.72,101.04,100.4,100.77,909.2339
1544508000000,100.79,101.16,100.48,100.88,713.28246
1544511600000,100.87,100.87,98.88,99.33,1383.02592
1544515200000,99.16,99.66,98.7,99.56,697.6833
1544518800000,99.55,100.17,99.19,99.39,620.18124
1544522400000,99.29,99.5,97.0,97.44,2163.40344
1544526000000,97.44,97.9,96.92,97.71,1135.40418
1544529600000,97.75,97.77,94.0,95.49,3259.66879
1544533200000,95.49,96.09,94.85,94.9,1091.65809
1544536800000,94.92,95.23,93.6,94.94,1129.05242
1544540400000,94.81,95.27,93.91,94.21,587.79276
1544544000000,94.2,95.78,92.95,95.44,1710.09523
1544547600000,95.32,96.35,94.12,94.95,1060.96989
1544551200000,95.03,95.7,95.01,95.46,260.13147
1544554800000,95.42,96.0,94.75,95.24,449.30009
1544558400000,95.2,96.97,95.17,96.78,1259.85371
1544562000000,96.79,98.99,96.68,97.93,1946.63059
1544565600000,97.88,97.88,96.11,96.7,692.95473
1544569200000,96.7,97.55,96.31,96.37,495.89525
1544572800000,96.31,96.5,95.19,95.55,925.83496
1544576400000,95.54,95.92,95.2,95.83,198.92653
1544580000000,95.97,97.6,95.94,96.57,762.86292
1544583600000,96.66,96.86,95.89,96.15,814.85389
1544587200000,96.01,96.56,95.61,96.56,188.30401
1544590800000,96.36,97.17,96.33,96.36,793.17035
1544594400000,96.51,97.59,95.81,96.41,1329.6485
1544598000000,96.42,97.51,96.42,96.95,535.68235
1544601600000,96.99,97.09,95.89,96.25,638.7668
1544605200000,96.24,96.79,95.75,96.04,651.51577
1544608800000,96.16,98.45,96.13,97.49,1803.71654
1544612400000,97.39,98.99,97.25,97.25,2519.25794
1544616000000,97.29,97.49,96.72,96.91,1793.76261
1544619600000,96.91,97.23,96.26,96.76,1165.18813
1544623200000,96.78,98.18,96.74,96.86,1247.90708
1544626800000,96.87,98.75,96.59,97.97,2158.28837
1544630400000,97.98,99.04,97.7,98.02,1959.4515
1544634000000,98.0,98.18,97.23,97.73,1072.09242
1544637600000,97.73,97.88,97.12,97.52,495.99318
1544641200000,97.56,98.27,97.19,98.25,1506.41658
1544644800000,98.25,98.35,97.12,97.57,871.3383
1544648400000,97.57,97.85,97.24,97.82,279.9433
1544652000000,97.84,98.0,96.3,96.49,912.85248
1544655600000,96.4,97.15,96.32,97.06,802.39522
1544659200000,96.99,97.18,96.11,96.12,408.13529
1544662800000,96.14,96.43,94.27,94.35,1934.47172
1544666400000,94.32,95.28,94.32,94.96,869.16251
1544670000000,94.92,95.15,94.53,94.94,425.72607
1544673600000,95.15,95.8,94.61,95.06,1263.85039
1544677200000,94.91,95.42,94.0,94.94,1077.3541
1544680800000,94.95,95.39,94.65,95.0,377.48544
1544684400000,95.0,95.07,94.61,95.01,418.73022
1544688000000,95.01,96.84,94.85,96.66,1266.62868
1544691600000,96.66,96.91,95.47,95.74,808.44159
1544695200000,95.75,96.22,95.47,95.51,850.95481
1544698800000,95.46,95.51,94.0,94.05,1762.99705
1544702400000,94.06,96.0,94.06,95.31,1626.56261
1544706000000,95.47,95.62,94.46,94.67,831.3102
1544709600000,94.69,95.18,94.62,94.67,380.1504
1544713200000,94.66,95.77,94.63,95.69,831.2149
